filename,original_screenshot,website_purpose
01-reading-intelligence-dashboard.png,#43,Product showcase
02-reading-intelligence-metrics.png,#44,How progress is measured
03-reading-intelligence-profile.png,#45,Personalized intelligence
04-achievements.png,#46,Motivation / gamification
05-reading-brain-mapped.png,#48,Personalized report
06-weekly-reading-growth.png,#50,Progress proof
07-monthly-reading-growth.png,#51,Longer-term progress
08-completion-certificate.png,#54,Outcome / completion
09-document-mastery-studio.png,#55,Upload & Learn
10-document-mastery-overview.png,#56,AI-generated learning
11-document-knowledge-map.png,#57,Visual understanding
12-document-key-concepts.png,#58,Concept extraction
13-document-memory-notes.png,#59,Retention / revision
14-your-daily-roadmap.png,#62,Guided learning journey
15-mastery-curriculum.png,#63,Structured practice
16-sensory-hologram-builder.png,#66,Interactive practice
17-30-day-quantum-speed-reading-mastery.png,#107,Core program
18-live-masterclasses-mentorship.png,#108,Human guidance
